ride_id,UTC,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,simple_label
15692,2018-11-09 19:33:50.382,0.038282,9.800192,1.799254,0.24390243902439027,-2.804878048780488,2.682926829268293,-43.0,-181.0,185.0,FLOATING
15692,2018-11-09 19:33:50.580,0.17226899999999998,9.742769,2.0480869999999998,2.3170731707317076,-0.12195121951219513,-1.9512195121951221,-44.0,-172.0,182.0,FLOATING
15692,2018-11-09 19:33:50.778,0.325397,9.436513,1.9141,2.682926829268293,5.121951219512195,-5.853658536585367,-37.0,-165.0,173.0,FLOATING
15692,2018-11-09 19:33:50.976,0.421102,9.034552,1.6652669999999998,1.3414634146341464,7.317073170731708,-3.048780487804878,-40.0,-166.0,178.0,FLOATING
15692,2018-11-09 19:33:51.174,0.40196099999999996,9.245102999999999,1.4355749999999998,1.5853658536585367,5.487804878048781,6.341463414634147,-38.0,-172.0,192.0,FLOATING
15692,2018-11-09 19:33:51.372,0.17226899999999998,9.857615,1.397293,-0.48780487804878053,0.853658536585366,10.853658536585368,-47.0,-169.0,181.0,FLOATING
15692,2018-11-09 19:33:51.570,0.09570499999999998,10.106447999999999,1.8183949999999998,-5.365853658536586,-0.853658536585366,5.731707317073171,-50.0,-168.0,180.0,FLOATING
15692,2018-11-09 19:33:51.801,0.22969199999999998,9.857615,1.8949589999999998,-0.9756097560975611,1.4634146341463417,-1.9512195121951221,-57.0,-189.0,183.0,FLOATING
15692,2018-11-09 19:33:51.999,0.28711499999999995,9.436513,1.8375359999999998,4.634146341463415,3.2926829268292686,-5.0,-62.0,-174.0,180.0,FLOATING
15692,2018-11-09 19:33:52.197,0.38281999999999994,9.436513,1.7609719999999998,6.829268292682928,4.634146341463415,-1.707317073170732,-49.0,-167.0,181.0,FLOATING
15692,2018-11-09 19:33:52.395,0.421102,9.436513,1.799254,3.780487804878049,3.414634146341464,1.9512195121951221,-44.0,-172.0,184.0,FLOATING
15692,2018-11-09 19:33:52.593,0.34453799999999996,9.493936,1.569562,0.7317073170731708,0.9756097560975611,2.1951219512195124,-49.0,-171.0,185.0,FLOATING
15692,2018-11-09 19:33:52.791,0.19140999999999997,9.474794999999999,1.3207289999999998,0.3658536585365854,-3.780487804878049,0.0,-44.0,-164.0,188.0,FLOATING
15692,2018-11-09 19:33:52.989,0.076564,9.513077,1.4355749999999998,3.780487804878049,-5.2439024390243905,-1.3414634146341464,-39.0,-173.0,185.0,FLOATING
15692,2018-11-09 19:33:53.187,0.133987,9.876755999999999,1.7801129999999998,2.1951219512195124,-2.9268292682926833,1.829268292682927,-33.0,-159.0,185.0,FLOATING
15692,2018-11-09 19:33:53.385,0.17226899999999998,9.895897,2.1629329999999998,-5.609756097560976,2.5609756097560976,2.073170731707317,-45.0,-175.0,183.0,FLOATING
15692,2018-11-09 19:33:53.583,0.22969199999999998,9.589640999999999,1.6652669999999998,-4.51219512195122,4.024390243902439,3.414634146341464,-42.0,-174.0,178.0,FLOATING
15692,2018-11-09 19:33:53.781,0.28711499999999995,9.493936,1.359011,9.756097560975611,2.682926829268293,5.487804878048781,-41.0,-173.0,185.0,FLOATING
15692,2018-11-09 19:33:54.012,-0.057422999999999995,9.95332,1.5504209999999998,5.0,-6.219512195121951,2.073170731707317,-42.0,-172.0,190.0,FLOATING
15692,2018-11-09 19:33:54.210,0.17226899999999998,9.800192,2.430907,-5.487804878048781,-8.658536585365855,-6.219512195121951,-47.0,-179.0,179.0,FLOATING
15692,2018-11-09 19:33:54.408,0.28711499999999995,9.206821,2.450048,-6.463414634146342,-1.4634146341463417,-10.121951219512196,-32.0,-168.0,174.0,FLOATING
15692,2018-11-09 19:33:54.606,0.478525,8.747437,1.8949589999999998,-5.609756097560976,4.51219512195122,-6.829268292682928,-24.0,-164.0,172.0,FLOATING
15692,2018-11-09 19:33:54.804,0.306256,8.632591,1.454716,3.658536585365854,6.097560975609756,4.75609756097561,-19.0,-179.0,171.0,FLOATING
15692,2018-11-09 19:33:55.002,0.038282,9.685346,1.626985,7.926829268292684,6.341463414634147,12.317073170731708,-32.0,-168.0,174.0,FLOATING
15692,2018-11-09 19:33:55.200,-0.22969199999999998,10.374422,1.2633059999999998,2.804878048780488,-1.707317073170732,8.048780487804878,-35.0,-179.0,175.0,FLOATING
